EP_SMILES,FR_SMILES,CURING_SMILES,EEW,Flame_retardant_AdditionAmount(wt%),Curing_agent_AdditionAmount(wt%),Curing_Tem1,Curing_Time1,Curing_Tem2,Curing_Time2,Curing_Tem3,Curing_Time3,Curing_Tem4,Curing_Time4,Curing_Tem5,Curing_Time5,Curing_Tem6,Curing_Time6,Curing_Tem7,Curing_Time7,Curing_Tem8,Curing_Time8,Curing_Tem9,Curing_Time9,Curing_Pressure,Curing_UV
CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,CC(CO)OC(C)CO.CC(COCC(C)O)O,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,188,20.31,18.77,80,2,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,C1=COC(=C1)CO,C1CC(CCC1CC2CCC(CC2)N)N,188,13.25,20.48,80,2,120,1,150,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,0,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,188,0,17.94,165,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,CC(CO)OC(C)CO.CC(COCC(C)O)O,C1CC(CCC1CC2CCC(CC2)N)N,188,18.65,19.2,80,2,120,2,150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,C1=CC(=CC=C1N)S(=O)(=O)N=C(N)N,C1CC(CCC1CC2CCC(CC2)N)N,188,5.28,22.36,80,2,120,2,150,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,CC(CO)OC(C)CO.CC(COCC(C)O)O,CC1(CC(CC(C1)(C)CN)N)C,188,15.56,17.22,110,0.5,180,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,C1=CC=C(C=C1)/C=C/C(=O)O,C1CC(CCC1CC2CCC(CC2)N)N,188,13.82,20.34,80,2,120,2,150,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,P(CN(CCO)CCO)(=O)(OCC)OCC,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,188,16.36,26.78,150,2,25,2,150,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,188,15.1,22.4,120,2,180,2,220,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1C(C(CC2C1O2)C(=O)OCC3CO3)C(=O)OCC4CO4,C1=CC(=CC=C1N)S(=O)(=O)N=C(N)N,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,118,32.69,19.24,120,2,140,2,170,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,0,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,188,0,17.94,165,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,C1=CC(=CC=C1N)S(=O)(=O)N=C(N)N,C1CC(CCC1CC2CCC(CC2)N)N,188,5.28,22.36,80,2,120,2,150,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,C1=CC=C(C=C1)/C=C/C(=O)O,C1CC(CCC1CC2CCC(CC2)N)N,188,13.82,20.34,80,2,120,2,150,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,P(CN(CCO)CCO)(=O)(OCC)OCC,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,188,16.36,26.78,150,2,25,2,150,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,188,15.1,22.4,120,2,180,2,220,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1C(C(CC2C1O2)C(=O)OCC3CO3)C(=O)OCC4CO4,C1=CC(=CC=C1N)S(=O)(=O)N=C(N)N,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,118,32.69,19.24,120,2,140,2,170,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,C1C(O1)COC2=CC3=C(C=C2)C(=CC=C3)OCC4CO4,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,188,10,18.8,80,2,120,2,150,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,C1=CC=C(C=C1)C2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,188,10,18,80,2,120,2,150,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,C1=CC=C(C=C1)OP2(=NP(=NP(=N2)(OC3=CC=CC=C3)OC4=CC=CC=C4)(OC5=CC=CC=C5)OC6=CC=CC=C6)OC7=CC=CC=C7,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,188,10,18,80,2,120,2,150,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,C1=CC=C(C=C1)P(CP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,188,10,18,80,2,120,2,150,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,CCOP(=O)(CC1CO1)OCC,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,188,10,18.3,80,2,120,2,150,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1C(C(CC2C1O2)C(=O)OCC3CO3)C(=O)OCC4CO4,C1C(O1)COCCOCC2CO2,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,118,10,32.5,80,2,120,2,150,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,C=CC=C.C=CC#N.C=CC(=O)O,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,188,5,19,80,2,120,2,150,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,C=CC=C.C=CC#N.C=CC(=O)O,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,188,10,18,80,2,120,2,150,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,C=CC=C.C=CC(O)=O,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,188,5,19,80,2,120,2,150,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,C=CC=C.C=CC(O)=O,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,188,10,18,80,2,120,2,150,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,C=CC=C.C=CC#N.C=CC(OC1CO1)=O,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,188,10,18,80,2,120,2,150,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,C=CC=C.C=CC#N.C=CC(OC1CO1)=O.C=CC=C.C=CC#N.C=CC(O)=O,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,188,10,18,80,2,120,2,150,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1C=CCC(C1C(=O)OCC2CO2)C(=O)OCC3CO3,0,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,118,0,25,80,2,140,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1C=CCC(C1C(=O)OCC2CO2)C(=O)OCC3CO3,C1=CC=C2C(=C1)C3=CC=CC=C3[P+](=O)O2,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,10,22.4,25,80,2,140,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1C=CCC(C1C(=O)OCC2CO2)C(=O)OCC3CO3,C1=CC=C2C(=C1)C3=CC=CC=C3[P+](=O)O2,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,15,20.7,25,80,2,140,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1C=CCC(C1C(=O)OCC2CO2)C(=O)OCC3CO3,C1=CC=C(C=C1)OP(=O)(O)OC2=CC=CC=C2,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,10,22.6,25,80,2,140,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1C=CCC(C1C(=O)OCC2CO2)C(=O)OCC3CO3,C1=CC=C(C=C1)OP(=O)(O)OC2=CC=CC=C2,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,15,21,25,80,2,140,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,CCOP(=O)(CC1CO1)OCC,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,188,6,22.2,80,2,120,2,150,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
