Target,Model,Family,Input_Block,Benchmark_Source,Primary_Metric,Mean_Primary,Std_Primary,Method_Group
LOI,DescriptorProcess_TabICLRegressor,descriptor_tabicl,DescriptorProcess,from_scratch_descriptor_process,R2,0.849556886022742,0.01283993054337,DescriptorProcess_TabICL
LOI,DescriptorProcess_TabPFNRegressor,descriptor_tabpfn,DescriptorProcess,from_scratch_descriptor_process,R2,0.8288289533055435,0.023129568881753,DescriptorProcess_TabPFN
LOI,DescriptorProcess_LightGBMRegressor,descriptor_boosting,DescriptorProcess,from_scratch_descriptor_process,R2,0.8163992841747805,0.0142775730842198,DescriptorProcess_Boosting
LOI,DescriptorProcess_XGBoostRegressor,descriptor_boosting,DescriptorProcess,from_scratch_descriptor_process,R2,0.8003062707052715,0.0194880603782707,DescriptorProcess_Boosting
LOI,Graph_GCN_Fusion_weighted_sum_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7952884549859214,0.0263381062448136,GraphDescriptor_Fusion
LOI,DescriptorProcess_CatBoostRegressor,descriptor_boosting,DescriptorProcess,from_scratch_descriptor_process,R2,0.7941307208725494,0.0199433622701177,DescriptorProcess_Boosting
LOI,DescriptorProcess_GradientBoostingRegressor,descriptor_boosting,DescriptorProcess,from_scratch_descriptor_process,R2,0.7937933687920851,0.0212260577867964,DescriptorProcess_Boosting
LOI,Graph_GCN_Fusion_weighted_sum_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7887027282312375,0.0229716558732154,GraphDescriptor_Fusion
LOI,Graph_SAGE_Fusion_weighted_sum_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7866591807045002,0.0331048963320393,GraphDescriptor_Fusion
LOI,Graph_GINE_Fusion_weighted_sum_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.784187074285043,0.0296081361741948,GraphDescriptor_Fusion
LOI,Graph_GAT_Fusion_weighted_sum_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7831728131180584,0.032882260644437,GraphDescriptor_Fusion
LOI,Graph_GCN_Fusion_weighted_sum_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7825015714487387,0.030991397042759,GraphDescriptor_Fusion
LOI,Graph_GINE_Fusion_weighted_sum_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7808179378981832,0.0295959467197705,GraphDescriptor_Fusion
LOI,Graph_GINE_Fusion_weighted_sum_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7800897650222247,0.0414986799112833,GraphDescriptor_Fusion
LOI,Graph_GIN_Fusion_weighted_sum_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7781643518147783,0.0304436071534159,GraphDescriptor_Fusion
LOI,Graph_GAT_Fusion_weighted_sum_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7771689773606013,0.0307995005783176,GraphDescriptor_Fusion
LOI,Graph_GAT_Fusion_weighted_sum_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7762621269401832,0.0318235702807673,GraphDescriptor_Fusion
LOI,Graph_SAGE_Fusion_weighted_sum_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7741800950418201,0.0345457875765368,GraphDescriptor_Fusion
LOI,Graph_GIN_Fusion_weighted_sum_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.773726998505787,0.0309855067611861,GraphDescriptor_Fusion
LOI,Graph_SAGE_Fusion_weighted_sum_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7714488751601188,0.0296489033299999,GraphDescriptor_Fusion
LOI,Graph_GIN_Fusion_weighted_sum_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7713756954556908,0.028567463956528,GraphDescriptor_Fusion
LOI,DescriptorProcess_ExtraTreesRegressor,descriptor_tree,DescriptorProcess,from_scratch_descriptor_process,R2,0.768459103396021,0.0207838782800832,DescriptorProcess_Bagging
LOI,Graph_GCN_Fusion_film_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7656001310814867,0.0283613621030773,GraphDescriptor_Fusion
LOI,Graph_GIN_Fusion_film_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7655041448690827,0.0282695864880861,GraphDescriptor_Fusion
LOI,Graph_GCN_Fusion_concat_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.765457943124878,0.030125275437094,GraphDescriptor_Fusion
LOI,Graph_GAT_Fusion_gated_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7650875472762163,0.0294945580368227,GraphDescriptor_Fusion
LOI,Graph_GCN_Fusion_attention_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7650751678738466,0.0272101691716858,GraphDescriptor_Fusion
LOI,Graph_GIN_Fusion_gated_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7648340316737321,0.0241115821777023,GraphDescriptor_Fusion
LOI,Graph_GIN_Fusion_gated_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7638840596051807,0.0349842040979205,GraphDescriptor_Fusion
LOI,DescriptorProcess_RandomForestRegressor,descriptor_tree,DescriptorProcess,from_scratch_descriptor_process,R2,0.7637088096209949,0.0204228075740858,DescriptorProcess_Bagging
LOI,Graph_GIN_Fusion_attention_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7634487166402308,0.0306935261097633,GraphDescriptor_Fusion
LOI,Graph_GAT_Fusion_film_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7628269447946814,0.0295861230857321,GraphDescriptor_Fusion
LOI,Graph_GCN_Fusion_gated_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7624879131953216,0.0293367652325502,GraphDescriptor_Fusion
LOI,Graph_GAT_Fusion_attention_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7624232274050469,0.0263260335466742,GraphDescriptor_Fusion
LOI,Graph_GINE_Fusion_gated_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.762314529753757,0.0295025034466858,GraphDescriptor_Fusion
LOI,Graph_GIN_Fusion_film_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7620672815817797,0.023594111325416,GraphDescriptor_Fusion
LOI,Graph_GINE_Fusion_concat_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7618904832656486,0.0266818318548671,GraphDescriptor_Fusion
LOI,Graph_GCN_Fusion_concat_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7618748857486207,0.02812337779433,GraphDescriptor_Fusion
LOI,Graph_GINE_Fusion_film_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7615932919526849,0.0268137278563655,GraphDescriptor_Fusion
LOI,Graph_SAGE_Fusion_attention_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7614111287539223,0.0243843187644139,GraphDescriptor_Fusion
LOI,Graph_GAT_Fusion_film_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.761394287792198,0.0275644760013141,GraphDescriptor_Fusion
LOI,Graph_GCN_Fusion_attention_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7613337523456317,0.0259736732895041,GraphDescriptor_Fusion
LOI,Graph_GAT_Fusion_concat_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7612867531777526,0.0283693992859939,GraphDescriptor_Fusion
LOI,Graph_GINE_Fusion_film_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7611794323062628,0.0261716798558514,GraphDescriptor_Fusion
LOI,Graph_GIN_Fusion_concat_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7611479950470175,0.0269797916117859,GraphDescriptor_Fusion
LOI,Graph_SAGE_Fusion_film_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7607038701214899,0.0248807059745264,GraphDescriptor_Fusion
LOI,Graph_SAGE_Fusion_gated_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7603403913420452,0.0310682034339867,GraphDescriptor_Fusion
LOI,Graph_GCN_Fusion_attention_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7602737763383349,0.0295794674122714,GraphDescriptor_Fusion
LOI,Graph_SAGE_Fusion_concat_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7602051404518158,0.0308756942153987,GraphDescriptor_Fusion
LOI,Graph_GINE_Fusion_concat_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7599632718367354,0.0328183186577883,GraphDescriptor_Fusion
LOI,Graph_GINE_Fusion_attention_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.759963265054543,0.0232205283525319,GraphDescriptor_Fusion
LOI,Graph_GAT_Fusion_concat_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7598795670373226,0.0305417782854213,GraphDescriptor_Fusion
LOI,Graph_GINE_Fusion_attention_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.759777399691387,0.0257287158579595,GraphDescriptor_Fusion
LOI,Graph_GCN_Fusion_gated_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7597514913362715,0.0260870839701735,GraphDescriptor_Fusion
LOI,Graph_GIN_Fusion_attention_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7597024899989101,0.0321526297627748,GraphDescriptor_Fusion
LOI,Graph_SAGE_Fusion_gated_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7596699237189852,0.0325801955369192,GraphDescriptor_Fusion
LOI,Graph_GCN_Fusion_film_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7596291801906668,0.0255155246545702,GraphDescriptor_Fusion
LOI,Graph_GAT_Fusion_gated_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7595672319310427,0.0319263058772635,GraphDescriptor_Fusion
LOI,Graph_GAT_Fusion_film_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7594088003839825,0.029218980517411,GraphDescriptor_Fusion
LOI,Graph_SAGE_Fusion_concat_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7593210946728812,0.0284547190050015,GraphDescriptor_Fusion
LOI,Graph_GAT_Fusion_concat_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7592855722636397,0.0287632583871923,GraphDescriptor_Fusion
LOI,Graph_GINE_Fusion_concat_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7592158453352521,0.0337366731625572,GraphDescriptor_Fusion
LOI,Graph_GAT_Fusion_gated_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7590417399935095,0.024984313595691,GraphDescriptor_Fusion
LOI,Graph_SAGE_Fusion_concat_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7587915908883123,0.025014232450824,GraphDescriptor_Fusion
LOI,Graph_SAGE_Fusion_attention_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7586899178447408,0.0367742045300688,GraphDescriptor_Fusion
LOI,Graph_SAGE_Fusion_film_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7584643403857728,0.0205295041495064,GraphDescriptor_Fusion
LOI,Graph_GINE_Fusion_gated_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7580118020916262,0.0315950388400559,GraphDescriptor_Fusion
LOI,Graph_GINE_Fusion_film_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7579412728936725,0.0227156904855381,GraphDescriptor_Fusion
LOI,Graph_GINE_Fusion_gated_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7578410472104754,0.0310806879855001,GraphDescriptor_Fusion
LOI,Graph_GIN_Fusion_film_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7578203556439815,0.0283518988835629,GraphDescriptor_Fusion
LOI,Graph_GIN_Fusion_concat_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7576961869452696,0.0313828606563598,GraphDescriptor_Fusion
LOI,Graph_GCN_Fusion_gated_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.757693898909091,0.0328502899239342,GraphDescriptor_Fusion
LOI,Graph_GINE_Fusion_attention_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7575006347642284,0.0375733099617603,GraphDescriptor_Fusion
LOI,Graph_SAGE_Fusion_attention_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7566173027137093,0.0296864037916491,GraphDescriptor_Fusion
LOI,Graph_GIN_Fusion_attention_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7563419581925579,0.0314716560935167,GraphDescriptor_Fusion
LOI,Graph_GAT_Fusion_attention_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7561921057932174,0.0273722484707697,GraphDescriptor_Fusion
LOI,Graph_GAT_Fusion_attention_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7556251224016992,0.0327482709292927,GraphDescriptor_Fusion
LOI,Graph_GIN_Fusion_gated_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7553808501925066,0.0271580030095231,GraphDescriptor_Fusion
LOI,Graph_GIN_Fusion_concat_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7549221213538966,0.0280826350522493,GraphDescriptor_Fusion
LOI,Graph_SAGE_Fusion_film_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7545051281459865,0.0256848559680307,GraphDescriptor_Fusion
LOI,Graph_SAGE_Fusion_gated_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7542163197394168,0.0290843107398078,GraphDescriptor_Fusion
LOI,Graph_GCN_Fusion_film_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.752976862130633,0.0332072453783002,GraphDescriptor_Fusion
LOI,Graph_GCN_Fusion_concat_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7481652882710875,0.0336966036762182,GraphDescriptor_Fusion
LOI,Graph_GINE_Fusion_weighted_sum,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7452370396788623,0.0208073508226904,GraphDescriptor_Fusion
LOI,Graph_SAGE_Fusion_weighted_sum,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7370733811505229,0.0513958828396443,GraphDescriptor_Fusion
LOI,Graph_GIN_Fusion_weighted_sum,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7159671337040558,0.058866555586103,GraphDescriptor_Fusion
LOI,Graph_GAT_Fusion_attention,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.709960937771869,0.0681128170685516,GraphDescriptor_Fusion
LOI,Graph_GINE_Fusion_attention,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.7066466769207235,0.0437231540711322,GraphDescriptor_Fusion
LOI,Graph_GINE_Fusion_film,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.6988120467828318,0.0317715315166531,GraphDescriptor_Fusion
LOI,Graph_GAT_Fusion_film,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.69268567391245,0.0515531864828722,GraphDescriptor_Fusion
LOI,Graph_SAGE_Fusion_attention,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.6920092418591615,0.0590002309576537,GraphDescriptor_Fusion
LOI,Graph_GIN_Fusion_film,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.6916569709605146,0.0265717965928977,GraphDescriptor_Fusion
LOI,Graph_GIN_Fusion_attention,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.6861820017785035,0.0722511730019573,GraphDescriptor_Fusion
LOI,Graph_SAGE_Fusion_concat,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.681820155655951,0.072269614879376,GraphDescriptor_Fusion
LOI,Graph_GIN_Fusion_gated,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.6718237818801092,0.0945533659145527,GraphDescriptor_Fusion
LOI,Graph_GCN_Fusion_film,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.661067053521192,0.0573568117172333,GraphDescriptor_Fusion
LOI,Graph_SAGE_Fusion_film,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.6564116662558236,0.0262993816473827,GraphDescriptor_Fusion
LOI,Graph_GINE_Fusion_concat,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.6501896802931941,0.0771586708246403,GraphDescriptor_Fusion
LOI,Graph_GCN_Fusion_attention,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.6487191100171696,0.0877020841470607,GraphDescriptor_Fusion
LOI,Graph_GAT_Fusion_concat,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.638042625202954,0.0923223194932857,GraphDescriptor_Fusion
LOI,Graph_GIN_Fusion_concat,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.6376076650929194,0.0438640350702766,GraphDescriptor_Fusion
LOI,Graph_SAGE_Fusion_gated,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.6347557189887685,0.1560723328296329,GraphDescriptor_Fusion
LOI,DescriptorProcess_RbfSVMRegressor,descriptor_kernel,DescriptorProcess,from_scratch_descriptor_process,R2,0.6321562319497056,0.0226233417807808,DescriptorProcess_OtherML
LOI,Graph_GINE_Fusion_gated,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.6320481682099622,0.1335072595169329,GraphDescriptor_Fusion
LOI,Graph_GCN_Fusion_concat,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.6047548341849327,0.0373939004247777,GraphDescriptor_Fusion
LOI,Graph_GCN_Fusion_gated,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.5921307172163154,0.2129727622887318,GraphDescriptor_Fusion
LOI,Graph_GCN_Fusion_weighted_sum,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.5768855411638918,0.132581575884594,GraphDescriptor_Fusion
LOI,Graph_GAT_Fusion_weighted_sum,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.5740170208889676,0.1425794711590088,GraphDescriptor_Fusion
LOI,Graph_GAT_Fusion_gated,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.5247243073326107,0.2379765168306936,GraphDescriptor_Fusion
LOI,DescriptorProcess_MLPRegressor,descriptor_nn,DescriptorProcess,from_scratch_descriptor_process,R2,0.4966096553316187,0.164796449619152,DescriptorProcess_OtherML
LOI,DescriptorProcess_ElasticNetRegressor,descriptor_linear,DescriptorProcess,from_scratch_descriptor_process,R2,0.3558605149495387,0.0524053400442813,DescriptorProcess_OtherML
LOI,DescriptorProcess_BayesianRidgeRegressor,descriptor_linear,DescriptorProcess,from_scratch_descriptor_process,R2,0.3540842435798952,0.0520617171107932,DescriptorProcess_OtherML
LOI,DescriptorProcess_RidgeRegressor,descriptor_linear,DescriptorProcess,from_scratch_descriptor_process,R2,0.3449844097392037,0.0568684708587157,DescriptorProcess_OtherML
LOI,Graph_SAGE_Fusion_graph_only,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.1723012646253317,0.028622852160021,Plain_GNN
LOI,Graph_GAT_Fusion_graph_only,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.1590312486394835,0.0299853402356893,Plain_GNN
LOI,Graph_GINE_Fusion_graph_only,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.1588217728831198,0.0149194064756517,Plain_GNN
LOI,Graph_GIN_Fusion_graph_only,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.1494836827902579,0.0345842371060853,Plain_GNN
LOI,Graph_GCN_Fusion_graph_only,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.1373892129789105,0.0475049455761951,Plain_GNN
